EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER
5129814,COOK INLET (ZONE), ,02/01/2000,1300,Avalanche, , ,1,2,100000,0,AK,AST, ,1090334,Z,15,AFC,0,0,NEWSPAPER, , , , , , , , ,02/01/2000,1300, , , , ,"Work crews were releasing snow loads when an avalanche occurred.  One D6 caterpiller worker was killed when his 35,000 pound D6 was carried about 400 feet into Turnagain Arm.  The cab was crushed.  The critically injured operator was taken to an Anchorage hospital by an ERA helicopter on the scene, dying from injuries received a short time later.  Two other D6 operators were injured, neither critically.","",11
5132008,CENTRAL GULF COAST (ZONE), ,02/07/2000,0,Avalanche, , ,0,0,125000,0,AK,AST, ,1091149,Z,17,AFC,0,0,EMERGENCY MANAGER, , , , , , , , ,02/07/2000,2359, , , , ,"Avalanche in Valdez.  One home damaged.","",12
5178672,W SUMMIT T NW/SE SALT LAKE/WASATCH X SC/E UTAH/P X E JUAB/X NW SAN PETE (ZONE), ,02/12/2000,1400,Avalanche, , ,0,0,0,0,UT,MST, ,1105852,Z,8,SLC,0,0,GENERAL PUBLIC, , , , , , , , ,02/12/2000,1400, , , , ,"A 300 foot wide avalanche near Bridal Veil Falls briefly damned the Provo River. There were no injuries and no damage from the slide.","",13
5133205,WESTERN ESSEX (ZONE), ,02/19/2000,1300,Avalanche, , ,1,5,0,0,NY,EST, ,1091807,Z,34,BTV,0,0,NEWSPAPER, , , , , , , , ,02/19/2000,1300, , , , ,"","An avalanche occurred on Saturday, February 19th, on Wright Peak which is southwest of Mt. Van Hovenberg. The avalanche occurred at about the 3500 foot level, and was about 400 feet in length. There was one person killed and 5 injured while skiing.",14
5178682,RICH/CACHE T NW/P E C WEBER/MOST OF MORGAN/NW SUMMIT/NE SALT LAKE/X NE BOX ELDER (ZONE), ,02/25/2000,1150,Avalanche, , ,0,2,0,0,UT,MST, ,1105856,Z,7,SLC,0,0,PARK/FOREST SERVICE, , , , , , , , ,02/25/2000,1200, , , , ,"An avalanche occurred at the Snowbasin Resort in the Strawberry Bowl area around noon. It was about 100 feet wide and 150 feet long with a vertical drop of 400 feet. Five skiers were caught in the slide, with 2 being buried and the others partially buried. The two buried were quickly dug out, suffering only minor injuries. The others escaped without injury.","",15
5178683,RICH/CACHE T NW/P E C WEBER/MOST OF MORGAN/NW SUMMIT/NE SALT LAKE/X NE BOX ELDER (ZONE), ,02/27/2000,1200,Avalanche, , ,0,1,0,0,UT,MST, ,1105857,Z,7,SLC,0,0,PARK/FOREST SERVICE, , , , , , , , ,02/27/2000,1400, , , , ,"A ski patroller from Snowbasin was seriously injured in an avalanche in a closed area of Snowbasin. The man was doing routine checks of the Mt. Ogden flank in-bounds when a slab of wind-blown snow 200 feet wide slid 300 feet down the mountain. He was able to ride out the slide, but was slammed into a tree, breaking some ribs and his jaw, and causing other internal injuries.","",16
5132847,WESTERN ALASKA PENINSULA (ZONE), ,03/09/2000,0,Avalanche, , ,0,0,25000,0,AK,AST, ,1091138,Z,19,AFC,0,0,EMERGENCY MANAGER, , , , , , , , ,03/10/2000,2359, , , , ,"On March 9, an avalanche came down along the road between Chignik and the community airport.  On March 10, a second avalanche occurred at the same location.  Close to $50,000.00 was spent cleaning the road and flying an avalanche expert in to analyze the potential danger.","",17
5137440,GORE AND ELK MOUNTAINS/CENTRAL MOUNTAIN VALLEYS (ZONE), ,03/17/2000,1215,Avalanche, , ,2,0,0,0,CO,MST, ,1092899,Z,10,GJT,0,0,PARK/FOREST SERVICE, , , , , , , , ,03/17/2000,1216, , , , ,"","Two skiers were caught and killed in an avalanche near Highland Peak.  This was a hard-slab avalanche which fractured at about 4 feet below the surface of the snow pack.  The avalanche traveled about 1100 feet in the vertical and was about 500 feet wide.  Four other skiers in the group outran the avalanche.",18
5135707,COPPER RIVER BASIN (ZONE), ,04/08/2000,1200,Avalanche, , ,1,0,2000,0,AK,AST, ,1092244,Z,14,AFC,0,0,NEWSPAPER, , , , , , , , ,04/09/2000,800, , , , ,"Snow machiner was buried by an avalanche Saturday.   Alaska State Troopers said that the same snowmachiner had been caught in an avalanche earlier in the day while trying to highmark in the bowl.  The body was found Sunday morning, using trained dogs and avalanche probes, under about 4 1/2 feet of snow, lying face up.  The helmet was found about 40 feet uphill from where the body was found.","",19
5135706,SUSITNA VALLEY (ZONE), ,04/08/2000,1622,Avalanche, , ,1,1,0,0,AK,AST, ,1092243,Z,13,AFC,0,0,NEWSPAPER, , , , , , , , ,04/08/2000,1622, , , , ,"Avalanche on Snow Shoe Peak (20 miles southeast of Talkeetna) pushed a skier and a snowboarder over a cliff.  Both fell 200 feet.  The snowboarder was injured, treated and released from the hospital.  The skier was killed.  The skier was telemarking and was participating in a wilderness medicine course.","",20
5160990,COOK INLET (ZONE), ,11/11/2000,900,Avalanche, , ,0,1,0,0,AK,AST, ,1104139,Z,15,AFC,0,0,NEWSPAPER, , , , , , , , ,11/12/2000,1500, , , , ,"Nick Coltman, an Anchorage area resident, was hiking up Flattop Mountain when he and his dog triggered a snow slide Saturday.  The slide pushed him down the slop about 600 feet over rocks and boulders and partially buried him in snow.  he was able to hang on to a cellular phone and call for help.  He suffered serious injuries to his head, back and torso and had frostbitten fingers.   As of Sunday, he was in critical but stable condition at a local hospital.  Coltman was familiar with Flattop trails and was in excellent condition before the accident.

This was somewhat of an unusual situation, in that the greater Anchorage hillside area has not had a heavy snow.  Local areas of Flattop, however, had several feet of wind layered snow and this is what is thought to have given way due to recent winds and fluctuating  warm and cold temperatures.","",21
5165915,TETON/MOUTAINS (ZONE), ,12/01/2000,800,Avalanche, , ,1,0,0,0,WY,MST, ,1104913,Z,6,RIW,0,0,NEWSPAPER, , , , , , , , ,12/01/2000,800, , , , ,"","North side of Teton Pass. Time is estimated.",22
5161158,SUSITNA VALLEY (ZONE), ,12/09/2000,1330,Avalanche, , ,1,0,2000,0,AK,AST, ,1104401,Z,145,AFC,0,0,FIRE DEPT/RESCUE SQUAD, , , , , , , , ,12/09/2000,1400, , , , ,"Avalanche fatality occurred Saturday, 9 December 2000 between 1:30 pm and 2:00 pm.  The put-in was in an area north of Dunkle Mine, around milepost 196 on the Parks Highway.  The accident site was about 16 miles in from the road, just inside the park boundary.

The victim (James Thompson, 44) went to help a stuck snowmachiner who had been "highmarking" on a hill which tapered into a ravine.  The stuck snowmachiner got himself unstuck and rode downhill.  The victim was just heading downslope when he was hit from behind (witnesses said he probably didn't even see the slide coming and thus, didn't accelerate to try to ride it out).

The width of the slide was estimated between 1/4 and 1/2 miles wide.  The victim was carried roughly 400 yards.

Two or three people witnessed Thompson getting caught, others in the area saw the slide, but not the victim being carried downslope.  A team of 5-6 searchers found the sled and began probing upslope.  Within about 15 minutes, they struck the victim.  he was buried face down, about 4 feet deep, roughly 20 feet upslope from his snowmachine.  He did not have a pulse.  CPR was begun while the victim was still in the hole, and continued for 40 - 60 minutes without result.","",23
5165916,TETON/MOUTAINS / TETON EXCEPT N AND SC (ZONE), ,12/09/2000,1700,Avalanche, , ,1,0,0,0,WY,MST, ,1104914,Z,6,RIW,0,0,NEWSPAPER, , , , , , , , ,12/09/2000,1700, , , , ,"","Occured on south side of Teton Pass. Time was estimated.",24
5178168,NE BOX ELDER T X NE/W WEBER/DAVIS (ZONE), ,12/14/2000,2000,Avalanche, , ,1,0,0,0,UT,MST, ,1105900,Z,2,SLC,0,0,LAW ENFORCEMENT, , , , , , , , ,12/14/2000,2015, , , , ,"A 31-year-old man was killed by an avalanche while snowmobiling in the Willard Basin area near the base of Willard Peak. There were 3 other snowmobilers with him, but none of them were injured by the slide.","",25
5178434,W SUMMIT T NW/SE SALT LAKE/WASATCH X SC/E UTAH/P X E JUAB/X NW SAN PETE (ZONE), ,12/16/2000,1600,Avalanche, , ,0,1,0,0,UT,MST, ,1105903,Z,8,SLC,0,0,LAW ENFORCEMENT, , , , , , , , ,12/16/2000,1615, , , , ,"Two Salt Lake County teenagers were buried in an avalanche north of Alta in Flagstaff Gully. One of the teens was riding a sled while the other waited below taking photographs. The sledder came off a cornice ridge, triggering the avalanche. The sledder was partially buried to his shoulders but managed to dig himself out. The other teen below was buried completely fro about 15 minutes. When the teen and other skiers who had gathered found the buried boy he was unconscious and not breathing. The teen was revived and airlifted to University Hospital, where he was treated for neck injuries and hypothermia.","",26
5165917,TETON/MOUTAINS / TETON EXCEPT N AND SC (ZONE), ,12/25/2000,1400,Avalanche, , ,1,0,0,0,WY,MST, ,1104915,Z,6,RIW,0,0,LAW ENFORCEMENT, , , , , , , , ,12/25/2000,1400, , , , ,"","Occured near Dead Horse Pass. Time is estimated.",27
5178002,GALLATIN (ZONE), ,12/25/2000,1600,Avalanche, , ,0,1,0,0,MT,MST, ,1105803,Z,55,TFX,0,0,GOVT OFFICIAL, , , , , , , , ,12/25/2000,1600, , , , ,"Near West Yellowstone.","",28
5177825,WHEATLAND/PARK/SWEET GRASS (ZONE), ,12/31/2000,1600,Avalanche, , ,0,0,0,0,MT,MST, ,1105814,Z,28,BYZ,0,0,OTHER FEDERAL AGENCY, , , , , , , , ,12/31/2000,1600, , , , ,"","Location: Emigrant Peak near Chico Hot Springs in the Paradise Valley
Fatalities: Father and Son killed",29
5229181,WRN P.W. SND & KENAI MTNS (ZONE), ,01/01/2001,1500,Avalanche, , ,0,1,0,0,AK,AST, ,1110011,Z,125,AFC,0,0,NEWSPAPER, , , , , , , , ,01/01/2001,1600, , , , ,"Another avalanche, located at Aaron's Last Run, injured Michael McKinney, 31, of Fairbanks Monday afternoon.  The location is the same as the one which claimed 6 lives in March 1999 and is named for one of those killed. 

The slide was 100 to 300 yards wide and carried McKinney perhaps 1,000 feet down the steep slope, where it settled into a 15 foot-deep debris field.  According to experts, "This guy is very, very lucky to have wound up coming out of this thing alive".  Rescuers quickly spread out in a line and soon heard McKinney's voice rising from the snow.  "He was saying, 'Help me God, please save me, somebody find me,', one of the rescuers said.  "Just his mouth was sticking out and his one hand."","",30
5229321,ANCHORAGE MUNI TO BIRD CREEK (ZONE), ,01/07/2001,0,Avalanche, , ,0,0,5000,0,AK,AST, ,1110019,Z,101,AFC,0,0,DEPT OF HIGHWAYS, , , , , , , , ,01/07/2001,2359, , , , ,"","A strong frontal system in the southwest Gulf of Alaska was preceded by strong east and southeast winds.  The front moved north and northwest through Prince William Sound and into the northern Susitna Valley Sunday midday.

 Gusts reached 73 mph at the Prince William Sound Science Center with frontal passage around noon Sunday.   Wind gusts at the southeast Sound buoy gusted in the 50 to 60 mph from 11 pm Saturday through 10 am Sunday.

In the western Prince William Sound zone, east wind gusts of 60 + mph were observed in the Portage Valley from around 1 am to just before 1 pm Sunday.  Peak winds reached 68 mph between 11 am and noon.   In the January 10th edition of the Anchorage Daily News, an article referred to storm totals Saturday night and Sunday of "...about 3 feet of wet snow..."which held 2 weekend campers and their dogs "captive" in a remote Forest Service cabin on the Kenai Peninsula on the northwest end of Crescent Lake.  "We got to the cabin (apparently late Saturday) and the winds started blowing" Rachel Cheyette said, continuing with "On Saturday night it blew all night long." On Sunday morning, the wind slowed and the couple started breaking trail through heavy wet snow for about a mile until everything turned white. "There were whiteout conditions", Cheyette stated.  When they couldn't see the trail, they hiked back to cabin to wait out the storm, aware that conditions had primed the slopes for avalanches.  They were finally rescued by helicopter midday Tuesday.  Several feet of new fell at higher elevations along Turnagain Pass.

Spotter reports from the State Troopers in Turnagain Pass were "4-5" of new snow and whiteout conditions as of 2:30 am".  By 1:45 pm, DOT officials reported 2.29 inches of rain from the storm around Girdwood, with snow in the Pass.  The report also mentioned 24" of new snow as of noon.  With the early morning observation, this yielded about 20 inches of snow in 9 ½ hours.   

Along the Anchorage hillside, peak winds of 60 + mph were first reported at the Glen Alps site around 6 am.  Between 7 and 8 am Sunday, winds increased above 60 mph at Rabbit Creek, with peak winds reaching 71 mph several hours later between 10 and 11 am.  The Glen Alps site recorded peak winds of 61 mph at 6 am and again at 10 pm.  Wind gusts below 60 mph were reported after 10 pm Sunday.  Much stronger winds, however, were recorded along the Site Summit remote sensor, at close to 4000 asl, adjacent to the old Nike Site near Arctic Valley ski area where gusts reached 79 mph at 5 am, 129 mph at 9 am and 103 mph just before 11 pm (winds diminished to well below 60 mph thereafter).  

Roads were dangerously slick Sunday, prompting the Alaska State Troopers to issue a travel advisory for the Seward Highway.  In Anchorage, police counted 81 vehicles in distress between midnight Saturday and 2 pm Sunday.  Many of them ended up in ditches or were stuck along the Glenn Highway and in Eagle River.  Anchorage police sent three extra officers to help out.  At the western entrance to Turnagain Arm, an avalanche was reported at Mile 98, on the Bird Flats north west of Girdwood, which set off four smaller slides that came down to the highway.",31
5229183,ANCHORAGE MUNI TO BIRD CREEK (ZONE), ,01/18/2001,1800,Avalanche, , ,0,0,5000,0,AK,AST, ,1110013,Z,101,AFC,0,0,NEWSPAPER, , , , , , , , ,01/19/2001,600, , , , ,"Avalanche closed the Old Glenn Highway Thursday night at 7.4 mile.","",32
5229184,WRN P.W. SND & KENAI MTNS (ZONE), ,01/19/2001,1600,Avalanche, , ,0,0,10000,0,AK,AST, ,1110014,Z,125,AFC,0,0,NEWSPAPER, , , , , , , , ,01/19/2001,1930, , , , ,"Avalanche at Milepost 105 of the Seward Highway late Friday, close the road.  It contained mud, snow and broken trees.  1 vehicle was damaged.  The highway was reopened at 7:30 pm.","",33
5229185,ANCHORAGE MUNI TO BIRD CREEK (ZONE), ,01/23/2001,0,Avalanche, , ,0,0,5000,0,AK,AST, ,1110015,Z,101,AFC,0,0,NEWSPAPER, , , , , , , , ,01/23/2001,800, , , , ,"Avalanche reported at 7.4 mile Old Glenn Highway.  The road was reopened at 8am.","",34
5228163,W OKANOGAN/C&W CHELAN (ZONE), ,01/29/2001,1530,Avalanche, , ,1,0,0,0,WA,PST, ,1110301,Z,42,OTX,0,0,NEWSPAPER, , , , , , , , ,01/29/2001,1530, , , , ,"","An avalanche killed a 33-year old male who was snowshoeing about six miles northwest of Lake Wenatchee.  His companion dug herself out and escaped serious injury.",35
5228507,MATANUSKA VALLEY (ZONE), ,02/03/2001,1100,Avalanche, , ,2,1,0,0,AK,AST, ,1110205,Z,111,AFC,0,0,NEWSPAPER, , , , , , , , ,02/03/2001,1300, , , , ,"A group of snowmachiners Saturday triggered an avalanche on a slope south of Eureka, near the east fork of the Matanuska River.  The avalanche killed two members of the group and slightly injured a third man, who was carried downslope and trapped beneath his snowmachine until he was freed.","",36
5235037,TETON/MOUTAINS / TETON EXCEPT N AND SC (ZONE), ,02/06/2001,1700,Avalanche, , ,1,0,0,0,WY,MST, ,1111713,Z,6,RIW,0,0,NEWSPAPER, , , , , , , , ,02/06/2001,1700, , , , ,"","Occurred at Upper Rocks Springs Bowl just out of bounds of Jackson Hole Ski Area.",37
5228513,MATANUSKA VALLEY (ZONE), ,02/11/2001,0,Avalanche, , ,0,0,10000,0,AK,AST, ,1110209,Z,111,AFC,0,0,NEWSPAPER, , , , , , , , ,02/12/2001,2359, , , , ,"Three avalanches closed the road above the Motherlode Lodge in the Hatcher Pass area.","",38
5231767,W KITTITAS/W YAKIMA/W KLICKITAT T X SW (ZONE), ,02/17/2001,1620,Avalanche, , ,1,0,0,0,WA,PST, ,1111344,Z,25,PDT,0,0,NEWSPAPER, , , , , , , , ,02/17/2001,1620, , , , ,"An avalanche killed a man as he was snowmobiling with friends in the mountains north of Cle Elum.  According to reports, a 200 foot wide slide occurred about 8 miles northeast of Salmon La Sac Road in the North Fork Teanaway area.  This avalanche was likely caused by the softening of snow during a sunny afternoon.","",39
5232651,WEST ELK AND SAWATCH MOUNTAINS (ZONE), ,02/18/2001,1600,Avalanche, , ,0,1,0,0,CO,MST, ,1111300,Z,12,GJT,0,0,NEWSPAPER, , , , , , , , ,02/18/2001,1600, , , , ,"","A backcountry skier was caught in an avalanche in Wolverine Basin.  The skier was hurled into a tree and suffered a broken leg.",40
5231998,GALLATIN (ZONE), ,02/19/2001,1600,Avalanche, , ,0,1,0,0,MT,MST, ,1111423,Z,55,TFX,0,0,PARK/FOREST SERVICE, , , , , , , , ,02/19/2001,1600, , , , ,"Avalanche injury reported near West Yellowstone (time of injury report estimated).","",41
5232428,TETON/MOUTAINS / TETON EXCEPT N AND SC (ZONE), ,02/23/2001,1830,Avalanche, , ,1,0,0,0,WY,MST, ,1111378,Z,6,RIW,0,0,NEWSPAPER, , , , , , , , ,02/23/2001,1830, , , , ,"","",42
5232752,WEST ELK AND SAWATCH MOUNTAINS (ZONE), ,02/25/2001,1400,Avalanche, , ,1,0,0,0,CO,MST, ,1111304,Z,12,GJT,0,0,GOVT OFFICIAL, , , , , , , , ,02/25/2001,1400, , , , ,"","A female backcountry skier was killed by a sizable slab avalanche on Ohio Pass, 6 miles west-southwest of Crested Butte.  The soft-slab avalanche released at an elevation of 10,100 feet, was estimated to be 400 feet across and fell about 600 vertical feet.  Five other backcountry skiers escaped with no injuries.",43
5276433,WASATCH MOUNTAINS SOUTH OF I80 (ZONE), ,02/27/2001,1300,Avalanche, , ,1,0,0,0,UT,MST, ,1125810,Z,8,SLC,0,0,PARK/FOREST SERVICE, , , , , , , , ,02/27/2001,1300, , , , ,"A 43-year-old woman from New Hampshire was killed in an avalanche while skiing the backcountry of The Canyons Ski Resort. The avalanche occurred on Square Top Mountain as the woman was skiing with 5 others, but none of them were injured.","",44
5238846,MONO (ZONE), ,03/05/2001,755,Avalanche, , ,0,0,0,0,CA,PST, ,1112421,Z,73,REV,0,0,TRAINED SPOTTER, , , , , , , , ,03/05/2001,755, , , , ,"","Spotter reported US 395 was closed just north of Lee Vining due to an avalanche, no injuries or damage were reported.",45
5275195,WESTERN UNITA MOUNTAINS (ZONE), ,03/10/2001,1300,Avalanche, , ,2,0,0,0,UT,MST, ,1125813,Z,9,SLC,0,0,BROADCAST MEDIA, , , , , , , , ,03/10/2001,1300, , , , ,"Two snowmobilers were killed in an avalanche in the Uinta Mountains of Summit County near the town of Oakley. They were "high-marking" in an area of Upper Chalk Creek known as "the chutes". The two 29-year-old men were completely buried by the avalanche, estimated to be 900 feet long, 180 feet wide, and 12 feet deep.","",46
5237375,ELKHEAD AND PARK MOUNTAINS (ZONE), ,03/18/2001,1330,Avalanche, , ,1,0,0,0,CO,MST, ,1112545,Z,4,GJT,0,0,DEPT OF HIGHWAYS, , , , , , , , ,03/18/2001,1331, , , , ,"","A backcountry skier was caught and buried in an avalanche on the northeast slope of Farwell Mountain, at the 10,840 foot level.  The avalanche location is about 23 miles north of Steamboat Springs.",47
5230458,COPPER RIVER BASIN (ZONE), ,03/18/2001,1500,Avalanche, , ,1,1,0,0,AK,AST, ,1110934,Z,141,AFC,0,0,NEWSPAPER, , , , , , , , ,03/18/2001,1600, , , , ,"Another avalanche death, 6 miles east of the Richardson Monument at Mile 198 of the Richardson Highway (about 70 miles south of Delta Junction), was reported in Monday's Anchorage Daily News.  The avalanche occurred about 3 pm Sunday, March 18, 2001.

A group of snowmachiners were out for the day and stopped behind Courage Mountain.  When the avalanche let go, snow machiners in the area tried to get out of the way.  Gary Frederick, 37, of Delta Junction and Bambi Bender, 25, of North Pole, were caught in the slide.  About 20 people began probing the area immediately after the avalanche and Bender was quickly pulled out uninjured.  Frederick was found about 15 minutes later, buried in about 15 feet of hard-packed snow.  It took about 45 minutes to dig him out.  Attempts to revive him were unsuccessful.","",48
5275515,P NC WEBER/P C MORGAN/P W C SUMMIT/P SC WASATCH (ZONE), ,04/28/2001,1400,Avalanche, , ,2,0,0,0,UT,MST, ,1125860,Z,6,SLC,0,0,FIRE DEPT/RESCUE SQUAD, , , , , , , , ,04/28/2001,1400, , , , ,"Warm weather triggered a large "glide" avalanche in Stairs Gulch on Storm Mountain above Big Cottonwood Canyon, killing 2 hikers. The enormous slide was 1,000 feet wide and 10 feet deep. The slide funneled 2,000 vertical feet down into the narrow gulch.","",49
5269323,MATANUSKA VALLEY (ZONE), ,11/11/2001,1500,Avalanche, , ,1,0,0,0,AK,AST, ,1123637,Z,111,AFC,0,0,NEWSPAPER, , , , , , , , ,11/11/2001,1500, , , , ,"A small wind slab avalanche released under a 30 year old woman and her male friend.  The slide carried the two about 100 yards down the slope.  The man came to rest on top of the snow.  The woman was buried, head-down, under three feet of snow.  She was pulled out, not breathing and blue, about 25 minutes later and, at an earlier report, was in critical condition in an Anchorage hospital.  The patient was pulled off of life support at 6:45 am AST Tuesday, and was pronounced dead at 2 pm AST Tuesday.","",50
5273916,NORTHERN LYNN CANAL (ZONE), ,12/07/2001,800,Avalanche, , ,0,0,4000,0,AK,AST, ,1125047,Z,24,AJK,0,0,DEPT OF HIGHWAYS, , , , , , , , ,12/08/2001,1600, , , , ,"","A minor avalanche resulting from the release of accumulated snow from previous snows blocked the Haines Highway for about 24 hours. An estimated cost to rent equipment and the time to clear the road was $4000.",51
